,track-name,artist-name,artist-id,track-id,tags
0,Child Song,The Cinematic Orchestra,7c158ea8-c0aa-410e-bdc1-20bba9759577,4562ff4f-b619-5557-8600-87f6d0d9f348,"['chillout', 'jazz', 'nu jazz', 'downtempo', 'electronic']"
1,Reckoner,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,1f5924d3-c1b3-5d5e-9ca4-4e062e9019be,"['alternative', 'alternative rock', 'rock', 'indie', 'british']"
2,Glam Bucket,Underworld,ba2f4f3b-0293-4bc8-bb94-2f73b5207343,4cd3490e-cd44-5365-91e5-6da5b7b60887,"['electronic', 'electronica', 'techno', 'trance', 'underworld']"
3,Multiply,Jamie Lidell,0daf1c34-212a-442f-905d-c44f2adcc020,c6f09eff-9129-5e98-8ea8-fb11bb9dae3f,"['soul', 'funk', 'funky', 'greys anatomy', 'jamie lidell']"
4,Cannonball,Damien Rice,2119beb8-6ac5-4f21-82a4-b831c90c0024,a3fcd4f9-2949-5151-8f77-a678f2657423,"['acoustic', 'singer-songwriter', 'indie', 'Mellow', 'folk']"
5,I Will Follow You Into The Dark,Death Cab For Cutie,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,96b089dc-8abd-58ab-b188-283814072b22,"['indie', 'acoustic', 'Love', 'indie rock', 'Mellow']"
6,Walk Away,Ben Harper,1582a5b8-538e-45e7-9ae4-4099439a0e79,947f3785-a74f-53c2-873f-c2a8c9456eed,"['acoustic', 'singer-songwriter', 'folk', 'ben harper', 'rock']"
7,Fuck Forever,Babyshambles,8e1e03fe-ebbc-467a-b541-857144db10fb,6eba58a7-752c-5842-97bc-4bb8a25a98ba,"['indie', 'indie rock', 'british', 'alternative', 'rock']"
8,Albion,Babyshambles,8e1e03fe-ebbc-467a-b541-857144db10fb,2b981c34-0ba7-5384-b9da-c90e3ab5cdad,"['indie', 'indie rock', 'british', 'britpop', 'rock']"
9,Seaside,The Kooks,f82f3a3e-29c2-42ca-b589-bc5dc210fa9e,b54e151e-e50d-5510-bec8-344b54acb7ea,"['indie', 'indie rock', 'british', 'acoustic', 'rock']"
10,Always Love,Nada Surf,b9a2a9a6-7a40-48a6-bcb1-8eff5b89ad5b,ab437d81-87e2-5c75-b84d-f71b568c48e0,"['indie', 'rock', 'indie rock', 'alternative', 'Love']"
11,Music When The Lights Go Out,The Libertines,82b304c0-7da4-45d3-896a-0767c7ae1141,534a5584-1e17-560c-a12d-a7c11c526204,"['indie', 'indie rock', 'british', 'rock', 'alternative']"
12,Hide And Seek,Imogen Heap,328d146c-79f1-4eb6-9e40-8ee5710c14e5,100468ec-8085-575a-a58b-dc0d033f6a13,"['female vocalists', 'indie', 'electronic', 'chillout', 'electronica']"
13,Fidelity,Regina Spektor,fbb375f9-48bb-4635-824e-4120273b3ba7,5ac5d064-7fa6-59c0-a1a4-abbf6b7914e0,"['female vocalists', 'indie', 'singer-songwriter', 'piano', 'alternative']"
